property-title,rating,price,link,location,latitude,longitude
Hotel Yeon,Scored 9.4 9.4,$67,https://www.booking.com/hotel/kr/hotelyeon.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARooAKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Avj6ibYGwAIB0gIkOWVhZDBiMTgtYzMwNC00MTdiLTkwZTAtYWMyN2Y1NGNjYTRk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7f7ca1fc41b00144&srepoch=1724022138&all_sr_blocks=1203338204_392580785_2_2_0_553533&highlighted_blocks=1203338204_392580785_2_2_0_553533&matching_block_id=1203338204_392580785_2_2_0_553533&sr_pri_blocks=1203338204_392580785_2_2_0_553533_9055200&from=searchresults,"Seogwipo City, Seogwipo",33.2532177,126.5609945
Casaloma Hotel,Scored 8.4 8.4,$86,https://www.booking.com/hotel/kr/casaloma.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARooAKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Avj6ibYGwAIB0gIkOWVhZDBiMTgtYzMwNC00MTdiLTkwZTAtYWMyN2Y1NGNjYTRk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=7f7ca1fc41b00144&srepoch=1724022138&all_sr_blocks=717687602_393940081_2_2_0&highlighted_blocks=717687602_393940081_2_2_0&matching_block_id=717687602_393940081_2_2_0&sr_pri_blocks=717687602_393940081_2_2_0__11642400&from_sustainable_property_sr=1&from=searchresults,"Seogwipo City, Seogwipo",33.2532177,126.5609945
Kensington Resort Jeju Hanlim,Scored 8.4 8.4,$79,https://www.booking.com/hotel/kr/kensington-resort-jeju.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARooAKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Avj6ibYGwAIB0gIkOWVhZDBiMTgtYzMwNC00MTdiLTkwZTAtYWMyN2Y1NGNjYTRk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=7f7ca1fc41b00144&srepoch=1724022138&all_sr_blocks=27925315_0_2_0_0&highlighted_blocks=27925315_0_2_0_0&matching_block_id=27925315_0_2_0_0&sr_pri_blocks=27925315_0_2_0_0__10753303&from_sustainable_property_sr=1&from=searchresults,"Hallim, Jeju",33.3764716,126.2852587
Jeju Centerpoint N Residence,Scored 8.2 8.2,$58,https://www.booking.com/hotel/kr/jeju-senteopointeun-rejideonseu.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARooAKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Avj6ibYGwAIB0gIkOWVhZDBiMTgtYzMwNC00MTdiLTkwZTAtYWMyN2Y1NGNjYTRk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=7f7ca1fc41b00144&srepoch=1724022138&all_sr_blocks=1016840203_374158312_2_0_0&highlighted_blocks=1016840203_374158312_2_0_0&matching_block_id=1016840203_374158312_2_0_0&sr_pri_blocks=1016840203_374158312_2_0_0__7937600&from_sustainable_property_sr=1&from=searchresults,"Jeju City, Jeju",33.5042779,126.519838
Kensington Resort Seogwipo,Scored 7.8 7.8,$112,https://www.booking.com/hotel/kr/kensington-resort-seogwipo.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARooAKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Avj6ibYGwAIB0gIkOWVhZDBiMTgtYzMwNC00MTdiLTkwZTAtYWMyN2Y1NGNjYTRk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=7f7ca1fc41b00144&srepoch=1724022138&all_sr_blocks=131233405_0_2_0_0&highlighted_blocks=131233405_0_2_0_0&matching_block_id=131233405_0_2_0_0&sr_pri_blocks=131233405_0_2_0_0__15189040&from_sustainable_property_sr=1&from=searchresults,Seogwipo,33.2532177,126.5609945
GoldOne Hotel & Suites,Scored 8.6 8.6,$147,https://www.booking.com/hotel/kr/gold-one-amp-suites.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARooAKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Avj6ibYGwAIB0gIkOWVhZDBiMTgtYzMwNC00MTdiLTkwZTAtYWMyN2Y1NGNjYTRk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=7f7ca1fc41b00144&srepoch=1724022138&all_sr_blocks=515790026_347113356_2_42_0&highlighted_blocks=515790026_347113356_2_42_0&matching_block_id=515790026_347113356_2_42_0&sr_pri_blocks=515790026_347113356_2_42_0__19900000&from_sustainable_property_sr=1&from=searchresults,"Seogwipo City, Seogwipo",33.2532177,126.5609945
LOTTE City Hotel Jeju,Scored 8.4 8.4,$105,https://www.booking.com/hotel/kr/lotte-city-jeju.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARooAKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Avj6ibYGwAIB0gIkOWVhZDBiMTgtYzMwNC00MTdiLTkwZTAtYWMyN2Y1NGNjYTRk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=7f7ca1fc41b00144&srepoch=1724022138&all_sr_blocks=89448567_134358957_0_42_0&highlighted_blocks=89448567_134358957_0_42_0&matching_block_id=89448567_134358957_0_42_0&sr_pri_blocks=89448567_134358957_0_42_0__14300000&from_sustainable_property_sr=1&from=searchresults,"Jeju City, Jeju",33.5042779,126.519838
Jeju Bom Museum stay,Scored 8.9 8.9,$109,https://www.booking.com/hotel/kr/jeju-spring-pension.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARooAKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Avj6ibYGwAIB0gIkOWVhZDBiMTgtYzMwNC00MTdiLTkwZTAtYWMyN2Y1NGNjYTRk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=7f7ca1fc41b00144&srepoch=1724022138&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__14837385&from_sustainable_property_sr=1&from=searchresults,Seogwipo,33.2532177,126.5609945
Grabel Hotel Jeju,Scored 8.2 8.2,$89,https://www.booking.com/hotel/kr/grabel-jeju.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARooAKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Avj6ibYGwAIB0gIkOWVhZDBiMTgtYzMwNC00MTdiLTkwZTAtYWMyN2Y1NGNjYTRk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=7f7ca1fc41b00144&srepoch=1724022138&all_sr_blocks=115109701_0_2_0_0&highlighted_blocks=115109701_0_2_0_0&matching_block_id=115109701_0_2_0_0&sr_pri_blocks=115109701_0_2_0_0__12142271&from_sustainable_property_sr=1&from=searchresults,Jeju,33.5042779,126.519838
BK Hotel Jeju,Scored 8.5 8.5,$36,https://www.booking.com/hotel/kr/bk-jeju.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARooAKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Avj6ibYGwAIB0gIkOWVhZDBiMTgtYzMwNC00MTdiLTkwZTAtYWMyN2Y1NGNjYTRk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=7f7ca1fc41b00144&srepoch=1724022138&all_sr_blocks=145517824_0_2_0_0&highlighted_blocks=145517824_0_2_0_0&matching_block_id=145517824_0_2_0_0&sr_pri_blocks=145517824_0_2_0_0__4856637&from_sustainable_property_sr=1&from=searchresults,"Seogwipo City, Seogwipo",33.2532177,126.5609945
