"장소ID","장소명","도로명주소","위도","경도","등록일시","수정일시","지번주소","사용여부"
289,"하고수동해수욕장","",33.4973684,126.9460835,18/05/31,18/05/31,"제주특별자치도 제주시 우도면 연평리 2609","y"
282,"공항","제주특별자치도 제주시 다호6길 15",33.4991412,126.4940957,18/05/30,18/05/30,"제주특별자치도 제주시 용담2동 1869-2","y"
283,"애월 해안도로","제주특별자치도 제주시 다호6길 15",33.4796117,126.4164854,18/05/30,18/05/30,"제주특별자치도 제주시 애월읍 하귀1리 709","y"
294,"비자림","",33.4804255,126.8071463,18/05/31,18/05/31,"제주특별자치도 제주시 구좌읍 평대리 3017","y"
292,"교래자연휴양림","제주특별자치도 제주시 남조로 2023 교래자연휴양림",33.4374471,126.6618011,18/05/31,18/05/31,"제주특별자치도 제주시 조천읍 교래리 산119","y"
293,"이호해수욕장","",33.4851838,126.4605029,18/05/31,18/05/31,"제주특별자치도 제주시 노형동 3744-4","y"
295,"제주허브동산","",33.324744,126.8152373,18/05/31,18/05/31,"제주특별자치도 서귀포시 표선면 표선리 2530","y"
296,"한라수목원","",33.4695392,126.4907231,18/05/31,18/05/31,"제주특별자치도 제주시 연동 996-2","y"
297,"비자림","",33.4612383,126.798932,18/05/31,18/05/31,"제주특별자치도 제주시 구좌읍 송당리 산218","y"
298,"절물자연휴양림 ","",33.4243152,126.631174,18/05/31,18/05/31,"제주특별자치도 제주시 조천읍 교래리 산137-29","y"
300,"협재해수욕장","",33.3807275,126.2296422,18/05/31,18/05/31,"제주특별자치도 제주시 한림읍 금능리 1188","y"
306,"용왕난드르향토음식","제주특별자치도 서귀포시 대평감산로 8",33.2354175,126.3669632,18/06/01,18/06/01,"제주특별자치도 서귀포시 안덕면 창천리 876-11","y"
308,"안거리밖거리","제주특별자치도 서귀포시 솔동산로 6-1",33.2442563,126.5641243,18/06/01,18/06/01,"제주특별자치도 서귀포시 송산동 584-3","y"
315,"협재 해조대팬션 ","제주특별자치도 제주시 연북로 218 신화위더스빌 더샵",33.3938012,126.2405959,18/06/03,18/06/03,"제주특별자치도 제주시 한림읍 협재리 1750-4","y"
312,"코코비치 리조트","제주특별자치도 서귀포시 태평로92번길 37 코코비치리조트",33.2410482,126.5316374,18/06/01,18/06/01,"제주특별자치도 서귀포시 대륜동 1616-8","y"
313,"비스타케이월드컵","제주특별자치도 서귀포시 김정문화로41번길 10-6 비스타케이호텔",33.2519324,126.5097695,18/06/01,18/06/01,"제주특별자치도 서귀포시 대륜동 745-1","y"
314,"제주공항","",33.4865985,126.5135292,18/06/03,18/06/03,"제주특별자치도 제주시 오라동 1469-7","y"
316,"비양도","제주특별자치도 제주시 연북로 218 신화위더스빌 더샵",33.4050299,126.2299065,18/06/03,18/06/03,"제주특별자치도 제주시 한림읍 협재리 1750-4","y"
317,"우도","제주특별자치도 제주시 연북로 218 신화위더스빌 더샵",33.501354,126.9576638,18/06/03,18/06/03,"제주특별자치도 제주시 우도면 연평리 1554-1","y"
318,"제주당처물동굴","",33.5573044,126.7855995,18/06/03,18/06/03,"제주특별자치도 제주시 구좌읍 월정리 803","y"
320,"동복어촌체험장","",33.5556929,126.7188708,18/06/03,18/06/03,"제주특별자치도 제주시 구좌읍 동복리 687-7","y"
324,"옐로우 스토어","제주특별자치도 제주시 거문오름길 23-58",33.4255439,126.657114,18/06/05,18/06/05,"제주특별자치도 제주시 조천읍 교래리 732-3","y"
325,"흙돼지박스","제주특별자치도 서귀포시 신양로 100",33.436379,126.9203815,18/06/05,18/06/05,"제주특별자치도 서귀포시 성산읍 고성리 203-5","y"
326,"흑돼지천국","제주특별자치도 서귀포시 이어도로 137 갈치명가횟집",33.2397517,126.4370133,18/06/05,18/06/05,"제주특별자치도 서귀포시 중문동 2066-1","y"
331,"숲애","",33.4355237,126.672805,18/06/05,18/06/05,"제주특별자치도 제주시 조천읍 교래리 산56","y"
332,"함덕그때그집","",33.5285763,126.6715858,18/06/05,18/06/05,"제주특별자치도 제주시 조천읍 함덕리 759","y"
333,"삼다공원","제주특별자치도 제주시 연사3길 14 오라뜨래별아파트",33.4878991,126.5118267,18/06/05,18/06/05,"제주특별자치도 제주시 오라동 1477","y"
334,"예스렌트카","제주특별자치도 제주시 연사3길 14 오라뜨래별아파트",33.476021,126.4406514,18/06/05,18/06/05,"제주특별자치도 제주시 애월읍 광령리 1637","y"
