Place Name,Longitude,Latitude,Phone,Average Rating,Average Price (WON)
판포리아,126.19843237206571,33.3655658431257,010-6511-7250,,12800.0
타바코,126.19819087541659,33.36483489815135,010-6775-5067,5.0,4780.0
버거다이브,126.21608525888128,33.378209758778674,010-8631-9745,4.666666666666667,13094.736842105263
피어22,126.22776937829279,33.3899089881431,064-796-7787,4.0,22583.333333333332
파라토도스,126.232305971897,33.3892979084199,064-796-4331,4.333333333333333,25666.666666666668
둘레길 협재금능점,126.231381042184,33.389248005565,0507-1310-1641,5.0,17900.0
협재화덕 도나토스 DONATO'S,126.24033399925163,33.392560572300766,0507-1401-1981,,14200.0
수선화식당,126.243175342266,33.3971985741357,,,15800.0
수르르,126.227089578797,33.3892420890788,0507-1382-1569,5.0,18142.85714285714
버거307 협재점,126.24017226985208,33.392989639883425,0503-7150-0355,5.0,9808.333333333334
비양버거,126.230255110928,33.3885909819748,0507-1356-9826,5.0,10700.0
옹포83,126.25498535894137,33.40469282105942,,4.333333333333333,8700.0
제주다테이블,126.23137779427576,33.389250690214226,070-4833-7099,5.0,14235.0
킴스버거앤치킨,126.2400667556163,33.39338118476245,064-796-4944,4.333333333333333,15920.0
재미제주,126.17298868866243,33.3328849530745,0507-1333-0512,4.666666666666667,16277.777777777777
잇마이피자 제대점,126.55833820079728,33.45058895817569,,3.6666666666666665,14722.222222222223
봉수아피자 제주아라점,126.55938074235574,33.44818178553991,064-904-1355,5.0,21833.333333333332
그란데,126.5474649538035,33.47492537489638,064-758-4091,,23500.0
쿠쿠아림,126.541871816499,33.46937443191051,064-751-6645,2.3333333333333335,9545.454545454546
이브로파스타,126.576252768678,33.4706399554905,064-751-5464,5.0,10426.315789473685
루스트플레이스 아라점,126.545066365828,33.4739987689219,064-724-9008,4.333333333333333,9900.0
경양식탁,126.54837427875285,33.47073175588395,0507-1337-9082,,12571.42857142857
데스띠노,126.549702597704,33.4761939567892,,4.333333333333333,18400.0
라우나,126.548047501505,33.4723390148662,0507-1439-2407,3.6666666666666665,21000.0
아우스,126.546868182944,33.4723833955938,064-722-0287,,22375.0
농부파스타집,126.55016192702921,33.47204196629232,064-725-7990,5.0,27500.0
이재모피자 제주점,126.543506622842,33.4850357835865,064-755-1478,3.3333333333333335,25500.0
버거진심,126.544334118894,33.4691959752406,010-7629-4605,5.0,6271.428571428572
스니프,126.545745292827,33.4750146538532,010-2614-9385,5.0,15888.888888888889
핏제리아필리아,126.54410159397843,33.47456773824671,064-727-5479,5.0,15789.473684210527
우도엔젤,126.964692272566,33.5128258467674,,,
하하호호 우도본점,126.94847055953139,33.52082638555345,010-2899-1365,5.0,6973.684210526316
소산도,126.95774337217898,33.51314283865067,,5.0,
더블핸스테이크 제주우도점,126.96774173709,33.4976761315811,064-782-0465,,
꼬마해녀의집,126.957291142754,33.5134925052192,010-3672-5284,,17000.0
우도아름다운소풍,126.949476168253,33.5148762287529,064-782-8292,4.0,29500.0
피넛아일랜드,126.95303347266902,33.495005384112154,064-805-9654,4.333333333333333,9566.666666666666
우도꽃길,126.95075478017,33.5226350249631,,3.0,14000.0
피노키오,126.94829743145,33.5205305881994,,3.0,7200.0
말차이트,126.954959043383,33.4941901463702,064-766-6010,4.333333333333333,28000.0
꽃담수제버거,126.93607071345474,33.462977212240034,064-782-0761,4.333333333333333,12340.0
윌라라 (WORLD CLASS FISH&CHIPS),126.93291898587522,33.462854731261444,0507-1404-5120,3.6666666666666665,18020.0
이스트포레스트,126.89875920358224,33.49587903984645,064-784-3789,4.0,27307.69230769231
파파야,126.933378078634,33.4645662335777,010-5236-9000,5.0,15500.0
시안,126.93584314127843,33.46524915041939,010-7477-2295,5.0,14166.666666666666
